Type1/2,Wins by Type1/2,Percent Win Rate by Type 1,Percent Win Rate Overall
Grass,1669,45.50163577,3.520280104
Grass/Poison,610,16.63031625,1.286621248
Grass/Psychic,69,1.881134133,0.145535846
Grass/Flying,395,10.76881134,0.833139989
Grass/Dragon,119,3.244274809,0.250996604
Grass/Dark,193,5.26172301,0.407078526
Grass/Fighting,236,6.434023991,0.497774778
Grass/Ice,144,3.925845147,0.303726983
Grass/Fairy,150,4.089422028,0.316382274
Grass/Steel,83,2.262813522,0.175064858
Fire,1935,50.89426618,4.081331337
Fire/Flying,618,16.25460284,1.30349497
Fire/Dragon,119,3.129931615,0.250996604
Fire/Rock,9,0.236717517,0.018982936
Fire/Fighting,579,15.22882693,1.221235578
Fire/Ground,82,2.1567596,0.172955643
Fire/Steel,85,2.235665439,0.179283289
Fire/Psychic,147,3.866386113,0.310054629
Fire/Normal,153,4.024197791,0.32270992
Fire/Water,75,1.972645976,0.158191137
Water,3376,51.39290607,7.120710384
Water/Grass,115,1.750646978,0.242559744
Water/Fighting,276,4.201552748,0.582143384
Water/Dragon,203,3.090272492,0.428170678
Water/Poison,277,4.216775765,0.5842526
Water/Psychic,208,3.166387578,0.438716753
Water/Ice,200,3.04460344,0.421843032
Water/Rock,160,2.435682752,0.337474426
Water/Flying,449,6.835134724,0.947037607
Water/Dark,536,8.15953722,1.130539326
Water/Electric,126,1.918100167,0.26576111
Water/Fairy,63,0.959050084,0.132880555
Water/Ground,481,7.322271274,1.014532492
Water/Steel,57,0.867711981,0.120225264
Water/Ghost,42,0.639366722,0.088587037
Bug,622,16.48992577,1.31193183
Bug/Flying,1076,28.52598091,2.269515513
Bug/Poison,599,15.88016967,1.263419881
Bug/Grass,221,5.858960764,0.466136551
Bug/Steel,521,13.81230117,1.098901099
Bug/Fighting,175,4.639448568,0.369112653
Bug/Water,47,1.24602333,0.099133113
Bug/Ground,47,1.24602333,0.099133113
Bug/Ghost,41,1.086956522,0.086477822
Bug/Rock,83,2.200424178,0.175064858
Bug/Electric,179,4.745493107,0.377549514
Bug/Fire,161,4.268292683,0.339583641
Normal,3845,58.99048788,8.109932294
Normal/Flying,1867,28.64375575,3.937904706
Normal/Fairy,81,1.242712488,0.170846428
Normal/Psychic,172,2.638846272,0.362785008
Normal/Water,84,1.288738877,0.177174074
Normal/Fighting,242,3.712795336,0.510430069
Normal/Grass,159,2.439398589,0.335365211
Normal/Ground,68,1.043264805,0.143426631
Poison,696,44.30299173,1.468013752
Poison/Ground,145,9.229789943,0.305836198
Poison/Flying,265,16.86823679,0.558942018
Poison/Dark,243,15.46785487,0.512539284
Poison/Bug,63,4.010184596,0.132880555
Poison/Fighting,114,7.256524507,0.240450528
Poison/Water,14,0.891152132,0.029529012
Poison/Dragon,31,1.973265436,0.06538567
Electric,2077,61.63204748,4.380839889
Electric/Steel,87,2.581602374,0.183501719
Electric/Flying,479,14.21364985,1.010314062
Electric/Dragon,37,1.097922849,0.078040961
Electric/Ghost,71,2.106824926,0.149754276
Electric/Fire,79,2.34421365,0.166627998
Electric/Water,90,2.670623145,0.189829364
Electric/Ice,90,2.670623145,0.189829364
Electric/Grass,98,2.908011869,0.206703086
Electric/Normal,153,4.540059347,0.32270992
Electric/Fairy,109,3.234421365,0.229904453
Ground,664,31.80076628,1.400518867
Ground/Rock,129,6.17816092,0.272088756
Ground/Flying,403,19.30076628,0.85001371
Ground/Dragon,175,8.381226054,0.369112653
Ground/Psychic,134,6.417624521,0.282634832
Ground/Fire,91,4.358237548,0.19193858
Ground/Steel,103,4.932950192,0.217249162
Ground/Dark,248,11.87739464,0.52308536
Ground/Electric,29,1.388888889,0.06116724
Ground/Ghost,112,5.363984674,0.236232098
Fairy,604,85.43140028,1.273965957
Fairy/Flying,103,14.56859972,0.217249162
Fighting,988,64.03110823,2.083904579
Fighting/Psychic,216,13.99870382,0.455590475
Fighting/Steel,186,12.0544394,0.39231402
Fighting/Dark,46,2.981205444,0.097023897
Fighting/Flying,107,6.934543098,0.225686022
Psychic,216,11.93370166,0.455590475
Psychic/Fairy,353,19.50276243,0.744552952
Psychic/Fighting,323,17.84530387,0.681276497
Psychic/Flying,543,30,1.145303832
Psychic/Grass,111,6.132596685,0.234122883
Psychic/Fire,115,6.35359116,0.242559744
Psychic/Ghost,60,3.314917127,0.12655291
Psychic/Dark,89,4.917127072,0.187720149
Rock,336,14.61505002,0.708696294
Rock/Ground,226,9.830361027,0.476682626
Rock/Water,318,13.83210091,0.670730421
Rock/Flying,446,19.39973902,0.940709962
Rock/Dark,126,5.480643758,0.26576111
Rock/Psychic,123,5.35015224,0.259433465
Rock/Grass,41,1.78338408,0.086477822
Rock/Bug,118,5.132666377,0.248887389
Rock/Steel,64,2.783819052,0.13498977
Rock/Fighting,105,4.567203132,0.221467592
Rock/Dragon,116,5.045672031,0.244668959
Rock/Ice,89,3.871248369,0.187720149
Rock/Fairy,191,8.307959983,0.402860096
Ghost,516,27.49067661,1.088355023
Ghost/Poison,339,18.06073522,0.71502394
Ghost/Flying,151,8.044752264,0.318491489
Ghost/Dark,29,1.545018647,0.06116724
Ghost/Dragon,163,8.684070325,0.343802071
Ghost/Fire,141,7.511987214,0.297399338
Ghost/Grass,538,28.66275972,1.134757757
Ice,696,51.28960943,1.468013752
Ice/Flying,169,12.45394252,0.356457362
Ice/Ground,141,10.39056743,0.297399338
Ice/Psychic,145,10.6853353,0.305836198
Ice/Water,115,8.474576271,0.242559744
Ice/Ghost,91,6.705969049,0.19193858
Dragon,584,23.45381526,1.231781654
Dragon/Flying,650,26.10441767,1.370989855
Dragon/Fairy,90,3.614457831,0.189829364
Dragon/Psychic,320,12.85140562,0.674948852
Dragon/Ground,379,15.22088353,0.799392546
Dragon/Fire,91,3.654618474,0.19193858
Dragon/Electric,100,4.016064257,0.210921516
Dragon/Ice,276,11.08433735,0.582143384
Steel,221,14.51083388,0.466136551
Steel/Ground,75,4.924491136,0.158191137
Steel/Flying,70,4.596191727,0.147645061
