First_pokemon,Second_pokemon,Winner,#,Num_of_Wins,Total_battles,Win_rate
266,298,298,1,37,133,0.278195489
702,701,701,2,46,121,0.380165289
191,668,668,3,89,132,0.674242424
237,683,683,4,70,125,0.56
151,231,151,5,55,112,0.491071429
657,752,657,6,64,118,0.542372881
192,134,134,7,115,133,0.864661654
73,545,545,8,119,139,0.856115108
220,763,763,9,114,135,0.844444444
302,31,31,10,19,117,0.162393162
442,130,130,11,59,141,0.418439716
701,624,701,12,0,0,#DIV/0!
15,283,283,13,83,144,0.576388889
151,87,151,14,17,115,0.147826087
269,462,269,15,13,133,0.097744361
763,448,448,16,75,120,0.625
143,263,263,17,26,111,0.234234234
365,240,240,18,17,130,0.130769231
499,774,499,19,80,128,0.625
563,578,563,20,115,119,0.966386555
440,687,687,21,47,126,0.373015873
373,441,441,22,64,121,0.52892562
654,671,671,23,112,130,0.861538462
121,355,121,24,119,126,0.944444444
609,649,649,25,65,135,0.481481481
270,708,270,26,101,140,0.721428571
460,568,568,27,62,138,0.449275362
626,767,767,28,103,123,0.837398374
139,451,139,29,48,131,0.366412214
694,747,694,30,72,125,0.576
455,549,549,31,93,136,0.683823529
181,301,301,32,105,121,0.867768595
208,184,184,33,0,0,#DIV/0!
536,365,536,34,56,105,0.533333333
260,381,381,35,20,119,0.168067227
471,269,269,36,57,148,0.385135135
621,287,287,37,66,122,0.540983607
406,134,406,38,34,136,0.25
592,503,503,39,51,128,0.3984375
564,242,242,40,79,140,0.564285714
579,242,242,41,20,127,0.157480315
200,719,200,42,49,123,0.398373984
376,135,376,43,53,129,0.410852713
76,441,441,44,103,127,0.811023622
667,645,645,45,15,130,0.115384615
475,400,475,46,0,0,#DIV/0!
3,737,737,47,55,145,0.379310345
435,45,435,48,97,128,0.7578125
231,146,146,49,9,143,0.062937063
510,715,715,50,28,129,0.217054264
456,260,260,51,44,124,0.35483871
164,751,751,52,13,138,0.094202899
424,754,424,53,30,154,0.194805195
258,779,258,54,32,143,0.223776224
360,208,208,55,92,140,0.657142857
723,646,646,56,68,126,0.53968254
384,533,533,57,108,128,0.84375
734,673,673,58,91,140,0.65
141,721,141,59,103,120,0.858333333
244,741,244,60,47,142,0.330985915
509,217,509,61,79,115,0.686956522
633,44,633,62,55,118,0.466101695
595,719,595,63,85,108,0.787037037
606,40,606,64,54,120,0.45
368,598,368,65,91,114,0.798245614
746,584,746,66,0,0,#DIV/0!
350,187,350,67,90,125,0.72
303,198,303,68,68,130,0.523076923
169,701,701,69,35,108,0.324074074
569,115,115,70,87,130,0.669230769
231,172,172,71,108,140,0.771428571
71,440,71,72,86,110,0.781818182
659,610,610,73,21,150,0.14
570,557,557,74,32,124,0.258064516
712,40,712,75,51,116,0.439655172
451,352,451,76,23,108,0.212962963
661,95,95,77,45,121,0.371900826
540,4,540,78,0,0,#DIV/0!
130,319,130,79,79,157,0.503184713
125,418,418,80,94,117,0.803418803
309,276,276,81,16,135,0.118518519
579,612,612,82,29,137,0.211678832
716,80,80,83,50,135,0.37037037
482,535,535,84,86,115,0.747826087
376,37,37,85,91,105,0.866666667
6,328,328,86,24,122,0.196721311
